Date,Open,High,Low,Close,Adj Close,Volume
2015-09-11,136.818954,138.309921,136.593918,147.369995,138.188019,3115100
2015-09-14,138.188019,138.188019,136.350128,145.649994,136.575150,3226700
2015-09-15,137.465988,138.713120,136.678314,147.529999,138.338028,2717100
2015-09-16,138.628708,139.613297,138.347397,148.410004,139.163208,2799200
2015-09-17,138.872528,140.354065,138.122375,148.139999,138.910065,4003000
2015-09-18,136.950241,137.269073,135.009216,144.509995,135.506180,7975800
2015-09-21,136.331375,137.822296,135.890671,146.479996,137.353439,3825000
2015-09-22,135.609329,136.021927,134.812302,144.429993,135.431183,3564100
2015-09-23,135.224899,135.562485,133.855865,143.660004,134.709183,2674200
2015-09-24,133.715195,136.031311,133.105713,144.410004,135.412430,3280300
2015-09-25,136.481400,137.156555,135.524933,145.419998,136.359482,3474400
2015-09-28,135.421799,136.321991,133.593307,142.520004,133.640167,4317300
2015-09-29,133.143219,133.771469,132.355560,142.470001,133.593307,4763500
2015-09-30,134.737289,136.631424,134.709183,144.970001,135.937546,3946200
2015-10-01,136.256332,136.593918,132.768143,143.589996,134.643524,3880900
2015-10-02,132.261780,135.581223,131.802307,144.580002,135.571854,3054400
2015-10-05,136.734589,140.550995,136.734589,149.039993,139.753952,5131800
2015-10-06,139.772705,140.794800,139.238235,148.779999,139.510132,3018100
2015-10-07,140.691650,141.338638,139.585159,150.089996,140.738525,2980800
2015-10-08,140.363464,143.486008,139.988373,152.279999,142.792084,4794400
2015-10-09,142.960861,143.607864,141.845032,152.389999,142.895218,3531100
2015-10-12,142.904617,143.073410,141.451187,151.139999,141.723114,3227600
2015-10-13,141.385559,141.385559,139.885239,149.619995,140.297806,3915700
2015-10-14,140.279083,141.263641,139.735199,150.009995,140.663513,3353000
2015-10-15,141.507462,141.816895,139.322617,150.089996,140.738525,3476200
2015-10-16,141.076111,141.779388,139.960220,150.389999,141.019821,3483700
2015-10-19,140.513489,140.625992,139.135071,149.220001,139.922729,7954700
2015-10-20,133.612045,133.977768,131.530365,140.639999,131.877319,15928800
2015-10-21,131.511597,133.771469,130.620789,140.919998,132.139877,6990600
2015-10-22,132.908783,136.031311,132.796280,144.089996,135.112366,5583200
2015-10-23,135.599991,136.425125,134.746674,144.679993,135.665619,5370400
2015-10-26,135.731232,135.965668,134.287201,143.660004,134.709183,3489400
2015-10-27,134.568497,134.868576,128.773544,137.860001,129.270523,15008500
2015-10-28,129.326782,132.430542,128.932983,140.830002,132.055481,8511400
